Item,Quantity,Name,Material
1,3,DIN 912 M3 25 mm,Hardened Alloy Steel
2,2,DIN 912 M2.5 12 mm,Hardened Alloy Steel
3,1,universal_face,PETG
4,2,face_belt_grabber,PETG
5,4,DIN 912 M3 8 mm,Hardened Alloy Steel
6,22,"M3  Hex nut ",Hardened Alloy Steel
7,2,DIN 912 M3 10 mm,Hardened Alloy Steel
8,1,mosquito_face,PETG
9,4,DIN 912 M3 20 mm,Hardened Alloy Steel
10,1,4010 FAN,- None -
11,1,mosquito_support,PETG
12,1,shroud,PETG
13,1,top_endstop_plug_mgn12,PETG
14,1,top_mgn12_nimble,PETG
15,2,DIN 912 M3 35 mm,Hardened Alloy Steel
16,4,DIN 912 M3 10 mm,Hardened Alloy Steel
17,4,"M3  Hex nut ",Hardened Alloy Steel
18,1,DIN 912 M3 8 mm,Hardened Alloy Steel
19,1,Mock-up Nimble V2 Right,- None -
20,3,DIN 912 M3 30 mm,Hardened Alloy Steel
21,1,back_corexy,PETG
22,1,tension_slider_9mm_belt_M5,PETG
23,1,tension_slider_9mm_belt_M5_mirror,PETG
24,1,5015 fan,- None -
25,2,DIN 912 M5 45 mm,Hardened Alloy Steel
26,2,M5  Hex nut Nyloc,Hardened Alloy Steel
27,1,bottom_mgn12_short_duct,PETG
28,2,DIN 912 M3 12 mm,Hardened Alloy Steel
29,2,DIN 912 M3 35 mm,Hardened Alloy Steel
30,1,Duct v2.1 Straight,PETG